datetime,epoch,train_loss,test_loss,test_accuracy
2016-07-14_12-58-39,2,4771.155548,0.000000,0.000000
2016-07-14_12-58-45,3,4667.868165,0.000000,0.000000
2016-07-14_12-58-51,4,4599.483135,0.000000,0.000000
2016-07-14_12-58-58,5,4560.745976,0.000000,0.000000
2016-07-14_12-59-04,6,4528.173498,0.000000,0.000000
2016-07-14_12-59-11,7,4505.597941,0.000000,0.000000
2016-07-14_12-59-17,8,4487.741608,0.000000,0.000000
2016-07-14_12-59-23,9,4482.427078,0.000000,0.000000
2016-07-14_12-59-30,10,4468.788621,0.000000,0.000000
2016-07-14_12-59-36,11,4463.266216,0.000000,0.000000
2016-07-14_12-59-42,12,4456.268304,0.000000,0.000000
2016-07-14_12-59-49,13,4449.219685,0.000000,0.000000
2016-07-14_12-59-55,14,4449.344037,0.000000,0.000000
2016-07-14_13-00-01,15,4439.127844,0.000000,0.000000
2016-07-14_13-00-08,16,4436.295345,0.000000,0.000000
2016-07-14_13-00-14,17,4435.589831,0.000000,0.000000
2016-07-14_13-00-21,18,4433.266402,0.000000,0.000000
2016-07-14_13-00-27,19,4431.073152,0.000000,0.000000
2016-07-14_13-00-33,20,4432.712967,0.000000,0.000000
2016-07-14_13-00-40,21,4429.242689,0.000000,0.000000
2016-07-14_13-00-46,22,4427.849473,0.000000,0.000000
2016-07-14_13-00-52,23,4425.444646,0.000000,0.000000
2016-07-14_13-00-58,24,4426.242242,0.000000,0.000000
2016-07-14_13-01-05,25,4424.474479,0.000000,0.000000
2016-07-14_13-01-11,26,4425.281449,0.000000,0.000000
2016-07-14_13-01-17,27,4426.819345,0.000000,0.000000
2016-07-14_13-01-23,28,4419.382027,0.000000,0.000000
2016-07-14_13-01-30,29,4419.324711,0.000000,0.000000
2016-07-14_13-01-36,30,4418.611214,0.000000,0.000000
2016-07-14_13-01-43,31,4420.443466,0.000000,0.000000
2016-07-14_13-01-50,32,4422.461730,0.000000,0.000000
2016-07-14_13-01-56,33,4419.080132,0.000000,0.000000
2016-07-14_13-02-02,34,4419.217926,0.000000,0.000000
2016-07-14_13-02-08,35,4417.470653,0.000000,0.000000
2016-07-14_13-02-14,36,4419.277956,0.000000,0.000000
2016-07-14_13-02-21,37,4417.984318,0.000000,0.000000
2016-07-14_13-11-20,38,4417.851399,0.000000,0.000000
2016-07-14_13-11-27,39,4417.336171,0.000000,0.000000
2016-07-14_13-11-34,40,4417.040259,0.000000,0.000000
2016-07-14_13-11-41,41,4415.361051,0.000000,0.000000
2016-07-14_13-11-48,42,4418.202847,0.000000,0.000000
2016-07-14_13-11-55,43,4415.091687,0.000000,0.000000
2016-07-14_13-12-02,44,4414.651458,0.000000,0.000000
2016-07-14_13-12-08,45,4413.086924,0.000000,0.000000
2016-07-14_13-12-15,46,4414.819178,0.000000,0.000000
2016-07-14_13-12-22,47,4418.355015,0.000000,0.000000
2016-07-14_13-12-28,48,4416.715106,0.000000,0.000000
2016-07-14_13-12-35,49,4415.184047,0.000000,0.000000
2016-07-14_13-12-42,50,4413.647724,0.000000,0.000000
2016-07-14_13-12-49,51,4415.130320,0.000000,0.000000
2016-07-14_13-12-55,52,4413.794485,0.000000,0.000000
2016-07-14_13-13-01,53,4414.366297,0.000000,0.000000
2016-07-14_13-13-07,54,4415.900546,0.000000,0.000000
2016-07-14_13-13-14,55,4416.076430,0.000000,0.000000
2016-07-14_13-13-20,56,4412.980323,0.000000,0.000000
2016-07-14_13-13-27,57,4412.303657,0.000000,0.000000
2016-07-14_13-13-34,58,4412.804781,0.000000,0.000000
2016-07-14_13-13-41,59,4413.821647,0.000000,0.000000
2016-07-14_13-13-48,60,4412.130855,0.000000,0.000000
2016-07-14_13-13-54,61,4414.452340,0.000000,0.000000
2016-07-14_13-14-01,62,4413.307964,0.000000,0.000000
2016-07-14_13-14-08,63,4410.969775,0.000000,0.000000
2016-07-14_13-14-15,64,4409.060808,0.000000,0.000000
2016-07-14_13-14-23,65,4412.664249,0.000000,0.000000
2016-07-14_13-14-29,66,4410.178235,0.000000,0.000000
2016-07-14_13-14-35,67,4412.146856,0.000000,0.000000
2016-07-14_13-14-42,68,4410.776724,0.000000,0.000000
2016-07-14_13-14-49,69,4413.598683,0.000000,0.000000
2016-07-14_13-14-55,70,4413.815202,0.000000,0.000000
2016-07-14_13-15-02,71,4411.322733,0.000000,0.000000
2016-07-14_13-15-09,72,4410.446174,0.000000,0.000000
2016-07-14_13-15-16,73,4408.267606,0.000000,0.000000
2016-07-14_13-15-22,74,4411.478157,0.000000,0.000000
2016-07-14_13-15-29,75,4411.211250,0.000000,0.000000
2016-07-14_13-15-36,76,4411.383255,0.000000,0.000000
2016-07-14_13-15-42,77,4409.256700,0.000000,0.000000
2016-07-14_13-15-49,78,4409.951132,0.000000,0.000000
2016-07-14_13-15-55,79,4411.944013,0.000000,0.000000
2016-07-14_13-16-03,80,4410.006416,0.000000,0.000000
2016-07-14_13-16-10,81,4409.207623,0.000000,0.000000
2016-07-14_13-16-17,82,4410.626916,0.000000,0.000000
2016-07-14_13-16-24,83,4412.877341,0.000000,0.000000
2016-07-14_13-16-31,84,4411.885044,0.000000,0.000000
2016-07-14_13-16-37,85,4406.676766,0.000000,0.000000
2016-07-14_13-16-44,86,4410.126583,0.000000,0.000000
2016-07-14_13-16-51,87,4412.584830,0.000000,0.000000
2016-07-14_13-16-57,88,4409.797544,0.000000,0.000000
2016-07-14_13-17-04,89,4414.281288,0.000000,0.000000
2016-07-14_13-17-12,90,4410.321107,0.000000,0.000000
2016-07-14_13-17-18,91,4408.244245,0.000000,0.000000
2016-07-14_13-17-25,92,4408.444417,0.000000,0.000000
2016-07-14_13-17-32,93,4411.134921,0.000000,0.000000
2016-07-14_13-17-39,94,4413.103790,0.000000,0.000000
2016-07-14_13-17-47,95,4411.781874,0.000000,0.000000
2016-07-14_13-17-54,96,4413.014232,0.000000,0.000000
2016-07-14_13-18-00,97,4414.284337,0.000000,0.000000
2016-07-14_13-18-06,98,4408.382530,0.000000,0.000000
2016-07-14_13-18-13,99,4412.879979,0.000000,0.000000
2016-07-14_13-18-20,2,4427.387630,0.000000,0.000000
2016-07-14_13-18-22,3,4335.839221,0.000000,0.000000
2016-07-14_13-18-24,4,4287.737687,0.000000,0.000000
2016-07-14_13-18-27,5,4257.817974,0.000000,0.000000
2016-07-14_13-18-29,6,4231.236736,0.000000,0.000000
2016-07-14_13-18-31,7,4218.328796,0.000000,0.000000
2016-07-14_13-18-33,8,4203.902018,0.000000,0.000000
2016-07-14_13-18-35,9,4200.263557,0.000000,0.000000
2016-07-14_13-18-37,10,4186.207528,0.000000,0.000000
2016-07-14_13-18-39,11,4187.775207,0.000000,0.000000
2016-07-14_13-18-41,12,4181.413431,0.000000,0.000000
2016-07-14_13-18-43,13,4171.644898,0.000000,0.000000
2016-07-14_13-18-45,14,4168.990429,0.000000,0.000000
2016-07-14_13-18-47,15,4163.304039,0.000000,0.000000
2016-07-14_13-18-50,16,4155.002608,0.000000,0.000000
2016-07-14_13-18-51,17,4161.493504,0.000000,0.000000
2016-07-14_13-18-53,18,4157.728686,0.000000,0.000000
2016-07-14_13-18-55,19,4149.121833,0.000000,0.000000
2016-07-14_13-18-58,20,4156.547958,0.000000,0.000000
2016-07-14_13-19-00,21,4150.419534,0.000000,0.000000
2016-07-14_13-19-02,22,4153.545505,0.000000,0.000000
2016-07-14_13-19-04,23,4148.282904,0.000000,0.000000
2016-07-14_13-19-06,24,4151.019631,0.000000,0.000000
2016-07-14_13-19-08,25,4150.433759,0.000000,0.000000
2016-07-14_13-19-10,26,4142.725860,0.000000,0.000000
2016-07-14_13-19-12,27,4148.195420,0.000000,0.000000
2016-07-14_13-19-13,28,4146.094152,0.000000,0.000000
2016-07-14_13-19-15,29,4147.288888,0.000000,0.000000
2016-07-14_13-19-17,30,4138.869718,0.000000,0.000000
2016-07-14_13-19-19,31,4141.373974,0.000000,0.000000
2016-07-14_13-19-21,32,4143.296940,0.000000,0.000000
2016-07-14_13-19-23,33,4141.398002,0.000000,0.000000
2016-07-14_13-19-25,34,4141.245377,0.000000,0.000000
2016-07-14_13-19-27,35,4142.133914,0.000000,0.000000
2016-07-14_13-19-29,36,4141.051105,0.000000,0.000000
2016-07-14_13-19-31,37,4140.212666,0.000000,0.000000
2016-07-14_13-19-32,38,4140.552015,0.000000,0.000000
2016-07-14_13-19-34,39,4141.834554,0.000000,0.000000
2016-07-14_13-19-36,40,4134.996175,0.000000,0.000000
2016-07-14_13-19-38,41,4140.544671,0.000000,0.000000
2016-07-14_13-19-40,42,4136.863538,0.000000,0.000000
2016-07-14_13-19-42,43,4138.837302,0.000000,0.000000
2016-07-14_13-19-44,44,4138.406949,0.000000,0.000000
2016-07-14_13-19-46,45,4137.101432,0.000000,0.000000
2016-07-14_13-19-48,46,4133.324987,0.000000,0.000000
2016-07-14_13-19-50,47,4138.389300,0.000000,0.000000
2016-07-14_13-19-52,48,4139.126750,0.000000,0.000000
2016-07-14_13-19-54,49,4133.313584,0.000000,0.000000
2016-07-14_13-19-56,50,4138.660961,0.000000,0.000000
2016-07-14_13-19-57,51,4139.968899,0.000000,0.000000
2016-07-14_13-19-59,52,4138.698734,0.000000,0.000000
2016-07-14_13-20-02,53,4135.134638,0.000000,0.000000
2016-07-14_13-20-03,54,4134.922371,0.000000,0.000000
2016-07-14_13-20-05,55,4136.439835,0.000000,0.000000
2016-07-14_13-20-08,56,4137.232199,0.000000,0.000000
2016-07-14_13-20-10,57,4131.637157,0.000000,0.000000
2016-07-14_13-20-11,58,4140.447944,0.000000,0.000000
2016-07-14_13-20-13,59,4131.316241,0.000000,0.000000
2016-07-14_13-20-15,60,4143.913008,0.000000,0.000000
2016-07-14_13-20-17,61,4134.643445,0.000000,0.000000
2016-07-14_13-20-19,62,4140.699735,0.000000,0.000000
2016-07-14_13-20-21,63,4130.797186,0.000000,0.000000
2016-07-14_13-20-23,64,4133.529476,0.000000,0.000000
2016-07-14_13-20-25,65,4132.158014,0.000000,0.000000
2016-07-14_13-20-27,66,4133.885458,0.000000,0.000000
2016-07-14_13-20-29,67,4131.809792,0.000000,0.000000
2016-07-14_13-20-31,68,4129.514963,0.000000,0.000000
2016-07-14_13-20-33,69,4130.250670,0.000000,0.000000
2016-07-14_13-20-35,70,4132.635496,0.000000,0.000000
2016-07-14_13-20-37,71,4133.176544,0.000000,0.000000
2016-07-14_13-20-39,72,4130.301696,0.000000,0.000000
2016-07-14_13-20-41,73,4130.245765,0.000000,0.000000
2016-07-14_13-20-43,74,4131.597625,0.000000,0.000000
2016-07-14_13-20-45,75,4131.791943,0.000000,0.000000
2016-07-14_13-20-47,76,4126.139763,0.000000,0.000000
2016-07-14_13-20-49,77,4132.442525,0.000000,0.000000
2016-07-14_13-20-51,78,4129.167785,0.000000,0.000000
2016-07-14_13-20-53,79,4133.047933,0.000000,0.000000
2016-07-14_13-20-55,80,4135.345211,0.000000,0.000000
2016-07-14_13-20-57,81,4130.090465,0.000000,0.000000
2016-07-14_13-20-59,82,4132.941141,0.000000,0.000000
2016-07-14_13-21-01,83,4131.844377,0.000000,0.000000
2016-07-14_13-21-03,84,4130.124692,0.000000,0.000000
2016-07-14_13-21-05,85,4130.927600,0.000000,0.000000
2016-07-14_13-21-07,86,4130.098769,0.000000,0.000000
2016-07-14_13-21-09,87,4129.283891,0.000000,0.000000
2016-07-14_13-21-11,88,4129.325128,0.000000,0.000000
2016-07-14_13-21-13,89,4128.713505,0.000000,0.000000
2016-07-14_13-21-15,90,4129.688980,0.000000,0.000000
2016-07-14_13-21-17,91,4129.501533,0.000000,0.000000
2016-07-14_13-21-19,92,4130.708479,0.000000,0.000000
2016-07-14_13-21-21,93,4128.406137,0.000000,0.000000
2016-07-14_13-21-23,94,4132.720597,0.000000,0.000000
2016-07-14_13-21-24,95,4129.529895,0.000000,0.000000
2016-07-14_13-21-27,96,4132.655829,0.000000,0.000000
2016-07-14_13-21-29,97,4124.809665,0.000000,0.000000
2016-07-14_13-21-30,98,4130.533291,0.000000,0.000000
2016-07-14_13-21-32,99,4130.529061,0.000000,0.000000
